age_x;Incidence_en_incap;Incidence_en_inval;Incidence_en_chomage
0;0.1149;0.1149;0.1149
1;0.1149;0.1149;0.1149
2;0.1149;0.1149;0.1149
3;0.1149;0.1149;0.1149
4;0.1149;0.1149;0.1149
5;0.1149;0.1149;0.1149
6;0.1149;0.1149;0.1149
7;0.1149;0.1149;0.1149
8;0.1149;0.1149;0.1149
9;0.1149;0.1149;0.1149
10;0.1149;0.1149;0.1149
11;0.1149;0.1149;0.1149
12;0.1149;0.1149;0.1149
13;0.1149;0.1149;0.1149
14;0.1149;0.1149;0.1149
15;0.1149;0.1149;0.1149
16;0.1149;0.1149;0.1149
17;0.1149;0.1149;0.1149
18;0.1149;0.1149;0.1149
19;0.1149;0.1149;0.1149
20;0.1149;0.1149;0.1149
21;0.1149;0.1149;0.1149
22;0.1149;0.1149;0.1149
23;0.1149;0.1149;0.1149
24;0.1149;0.1149;0.1149
25;0.1149;0.1149;0.1149
26;0.1149;0.1149;0.1149
27;0.1149;0.1149;0.1149
28;0.1149;0.1149;0.1149
29;0.1149;0.1149;0.1149
30;0.1149;0.1149;0.1149
31;0.1149;0.1149;0.1149
32;0.1149;0.1149;0.1149
33;0.1149;0.1149;0.1149
34;0.1149;0.1149;0.1149
35;0.1149;0.1149;0.1149
36;0.1149;0.1149;0.1149
37;0.1149;0.1149;0.1149
38;0.1149;0.1149;0.1149
39;0.1149;0.1149;0.1149
40;0.1149;0.1149;0.1149
41;0.1149;0.1149;0.1149
42;0.1149;0.1149;0.1149
43;0.1149;0.1149;0.1149
44;0.1149;0.1149;0.1149
45;0.1149;0.1149;0.1149
46;0.1149;0.1149;0.1149
47;0.1149;0.1149;0.1149
48;0.1149;0.1149;0.1149
49;0.1149;0.1149;0.1149
50;0.1149;0.1149;0.1149
51;0.1149;0.1149;0.1149
52;0.1149;0.1149;0.1149
53;0.1149;0.1149;0.1149
54;0.1149;0.1149;0.1149
55;0.1149;0.1149;0.1149
56;0.1149;0.1149;0.1149
57;0.1149;0.1149;0.1149
58;0.1149;0.1149;0.1149
59;0.1149;0.1149;0.1149
60;0.1149;0.1149;0.1149
61;0.1149;0.1149;0.1149
62;0.1149;0.1149;0.1149
63;0.1149;0.1149;0.1149
64;0.1149;0.1149;0.1149
65;0.1149;0.1149;0.1149
66;0.1149;0.1149;0.1149
67;0.1149;0.1149;0.1149
68;0.1149;0.1149;0.1149
69;0.1149;0.1149;0.1149
70;0.1149;0.1149;0.1149
71;0.1149;0.1149;0.1149
72;0.1149;0.1149;0.1149
73;0.1149;0.1149;0.1149
74;0.1149;0.1149;0.1149
75;0.1149;0.1149;0.1149
76;0.1149;0.1149;0.1149
77;0.1149;0.1149;0.1149
78;0.1149;0.1149;0.1149
79;0.1149;0.1149;0.1149
80;0.1149;0.1149;0.1149
81;0.1149;0.1149;0.1149
82;0.1149;0.1149;0.1149
83;0.1149;0.1149;0.1149
84;0.1149;0.1149;0.1149
85;0.1149;0.1149;0.1149
86;0.1149;0.1149;0.1149
87;0.1149;0.1149;0.1149
88;0.1149;0.1149;0.1149
89;0.1149;0.1149;0.1149
90;0.1149;0.1149;0.1149
91;0.1149;0.1149;0.1149
92;0.1149;0.1149;0.1149
93;0.1149;0.1149;0.1149
94;0.1149;0.1149;0.1149
95;0.1149;0.1149;0.1149
96;0.1149;0.1149;0.1149
97;0.1312;0.1312;0.1312
98;0.1496;0.1496;0.1496
99;0.1707;0.1707;0.1707
100;0.1948;0.1948;0.1948
101;0.2223;0.2223;0.2223
102;0.2536;0.2536;0.2536
103;0.2893;0.2893;0.2893
104;0.3301;0.3301;0.3301
105;0.3767;0.3767;0.3767
106;0.4297;0.4297;0.4297
107;0.4903;0.4903;0.4903
108;0.5594;0.5594;0.5594
109;0.6383;0.6383;0.6383
110;0.7283;0.7283;0.7283
111;0.8309;0.8309;0.8309
112;0.9481;0.9481;0.9481
113;0.9481;0.9481;0.9481
114;0.9481;0.9481;0.9481
115;0.9481;0.9481;0.9481
116;0.9481;0.9481;0.9481
117;0.9481;0.9481;0.9481
118;0.9481;0.9481;0.9481
119;0.9481;0.9481;0.9481
120;0.9481;0.9481;0.9481
