age_x;Lx;Qx;Px
0;100000;0.00395;0.99605
1;99605;0.00029;0.99971
2;99576;0.00019;0.99981
3;99557;0.00014;0.99986
4;99543;0.00012;0.99988
5;99531;0.00011;0.99989
6;99520;0.0001;0.9999
7;99510;0.00008;0.99992
8;99502;0.00008;0.99992
9;99494;0.00009;0.99991
10;99485;0.00008;0.99992
11;99477;0.00008;0.99992
12;99469;0.0001;0.9999
13;99459;0.00009;0.99991
14;99450;0.00016;0.99984
15;99434;0.00018;0.99982
16;99416;0.00024;0.99976
17;99392;0.00032;0.99968
18;99360;0.00046;0.99954
19;99314;0.00056;0.99944
20;99258;0.00061;0.99939
21;99197;0.00063;0.99937
22;99135;0.00067;0.99933
23;99069;0.00067;0.99933
24;99003;0.00069;0.99931
25;98935;0.00075;0.99925
26;98861;0.00076;0.99924
27;98786;0.00073;0.99927
28;98714;0.00083;0.99917
29;98632;0.00078;0.99922
30;98555;0.00083;0.99917
31;98473;0.00083;0.99917
32;98391;0.00092;0.99908
33;98300;0.00093;0.99907
34;98209;0.00098;0.99902
35;98113;0.00099;0.99901
36;98016;0.00109;0.99891
37;97909;0.00121;0.99879
38;97791;0.00133;0.99867
39;97661;0.00148;0.99852
40;97516;0.00156;0.99844
41;97364;0.00172;0.99828
42;97197;0.00192;0.99808
43;97010;0.00203;0.99797
44;96813;0.00227;0.99773
45;96593;0.00256;0.99744
46;96346;0.00284;0.99716
47;96072;0.00312;0.99688
48;95772;0.00342;0.99658
49;95444;0.00381;0.99619
50;95080;0.00418;0.99582
51;94683;0.0046;0.9954
52;94247;0.00505;0.99495
53;93771;0.00562;0.99438
54;93244;0.00626;0.99374
55;92660;0.00689;0.99311
56;92022;0.00745;0.99255
57;91336;0.00807;0.99193
58;90599;0.00871;0.99129
59;89810;0.00944;0.99056
60;88962;0.01014;0.98986
61;88060;0.01087;0.98913
62;87103;0.01138;0.98862
63;86112;0.01216;0.98784
64;85065;0.01281;0.98719
65;83975;0.01366;0.98634
66;82828;0.01417;0.98583
67;81654;0.01559;0.98441
68;80381;0.01673;0.98327
69;79036;0.01771;0.98229
70;77636;0.01919;0.98081
71;76146;0.0203;0.9797
72;74600;0.02212;0.97788
73;72950;0.02407;0.97593
74;71194;0.02599;0.97401
75;69344;0.02868;0.97132
76;67355;0.03165;0.96835
77;65223;0.0349;0.9651
78;62947;0.03887;0.96113
79;60500;0.04407;0.95593
80;57834;0.04895;0.95105
81;55003;0.0552;0.9448
82;51967;0.06215;0.93785
83;48737;0.07038;0.92962
84;45307;0.0791;0.9209
85;41723;0.08959;0.91041
86;37985;0.10104;0.89896
87;34147;0.11342;0.88658
88;30274;0.1274;0.8726
89;26417;0.14184;0.85816
90;22670;0.15999;0.84001
91;19043;0.17797;0.82203
92;15654;0.19522;0.80478
93;12598;0.21583;0.78417
94;9879;0.23515;0.76485
95;7556;0.25331;0.74669
96;5642;0.2788;0.7212
97;4069;0.30106;0.69894
98;2844;0.32068;0.67932
99;1932;0.34058;0.65942
100;1274;0.34929;0.65071
101;829;0.35223;0.64777
102;537;0.35009;0.64991
103;349;0.37249;0.62751
104;219;1;0
