time,mp_id,last_t,pv_prime_valide,pv_prime_inc,pv_prime_ch,pv_total_prime,pv_frais_acq,pv_frais_admin,pv_frais_commissions,pv_total_frais_primes,pv_sinistre_dc,pv_sinistre_inc,pv_sinistre_ch,pv_sinistre_inv,pv_sinistre_total,pv_total_pm_clot,pv_total_pm_ouv,pv_frais_gest_sin,pv_production_financiere,pv_resultat_technique,pv_participation_benef_ass,pv_participation_benef_part,pv_resultat_assureur
0,1,245,292121.1437486081,17401.533450890496,17401.533450890496,326924.2106503891,16346.210532519464,16346.210532519464,49038.63159755836,81731.05266259727,104378.18948088409,170657.14384294374,170657.14384294374,3995856.774340844,4441549.251507616,5337388.758488177,5384546.603604966,755063.3727562939,107219.35362093148,-4904261.62115933,-98085.23242318662,-4806176.388736146,-4895127.499961589
0,2,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108036.13189473531,0.0,0.0,0.0,108036.13189473531,4334.717730193174,5396.780574303292,18366.142422105007,97.31498304496465,-125340.2114727302,-2506.8042294546035,-122833.40724327558,-127749.7007191398
0,3,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288889.4470768078,0.0,0.0,0.0,288889.4470768078,792354.8802469494,806408.4718307363,49111.20600305735,15987.633520776859,-323947.0614960784,-6478.941229921564,-317468.1202661569,-314438.36920522316
0,4,62,0.0,0.0,1863.4768891119186,1863.4768891119186,93.17384445559595,93.17384445559595,279.5215333667879,465.86922227797965,1553.1216401062718,0.0,69259.22437865964,0.0,70812.34601876592,41.99840269996695,77.49422224157121,12038.098823190203,1.1949262494153816,-81417.3413555806,-1628.3468271116117,-79788.99452846897,-83044.4932564428
0,5,92,1073240.8418552235,76737.09074708322,76737.09074708322,1226715.02334939,61335.751167469534,61335.751167469534,184007.2535024086,306678.7558373475,623292.2470604309,1501468.279658377,1501468.279658377,11069594.119363643,14695822.92574083,815641.8082191825,851025.8778435328,2498289.8973759403,16666.67686062715,-16238692.485980371,-324773.8497196074,-15913918.636260761,-16546799.65883935
0,6,125,0.0,0.0,1835.8204670990824,1835.8204670990824,91.79102335495415,91.79102335495415,275.37307006486225,458.9551167747706,18574.88344363724,0.0,31820.88809638407,0.0,50395.771540021335,16822.267430869793,17167.27233230036,8567.281161803628,339.8953976317015,-57241.182450070155,-1144.8236490014028,-56096.35880106868,-58046.11070143983
0,7,110,1535627.1600819284,76482.16342271559,76482.16342271559,1688591.4869273596,84429.57434636791,84429.57434636791,253288.7230391038,422147.8717318399,252098.1920656931,1382344.2870476,1382344.2870476,14989282.386604004,18006069.152764905,293997.2922732618,304314.1919886383,3061031.755970032,5983.114842619004,-19790340.393824026,-395806.80787648103,-19394533.58594755,-20180164.08685788
0,8,206,0.0,0.0,114258.2206117555,114258.2206117555,5712.911030587774,5712.911030587774,17138.73309176332,28564.555152938876,1074626.590767939,0.0,2155174.9873362314,0.0,3229801.5781041714,2857886.1043327004,2889216.9371229033,549066.2682777087,57471.0304145561,-3661843.3481328557,-73236.86696265699,-3588606.4811702,-3677609.1846809555
0,9,212,1433485.2263917248,64376.25810802978,0.0,1497861.4844997535,74893.07422498777,74893.07422498777,224679.22267496304,374465.37112493836,144992.63338273097,1505462.3481458274,0.0,32387147.360691916,34037602.342220485,1859405.422248681,1881012.7238534326,5786392.398177475,37404.181461021115,-38678991.325418405,-773579.8265083676,-37905411.49890997,-39415166.97046571
0,10,71,307021.9509496827,12359.523349201687,0.0,319381.47429888416,15969.073714944216,15969.073714944216,47907.22114483265,79845.36857472105,29993.252639864433,513847.1832430601,0.0,4548619.462136766,5092459.898019686,191023.77995393804,205774.60448699925,865718.1826633472,3967.9838444093716,-5703891.15042581,-114077.82300851618,-5589813.327417294,-5814000.989589915
